Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
adducent.school,available,54,1%,8,"Engineering,Mathematics,Science",,,
accentual.school,available,54,3%,9,"Arts,Entertainment",,,
adpressed.school,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
adjuratory.school,available,54,0%,10,"Law,Politics,Religion",,,
septet.school,available,53,1%,6,General,,,
sestet.school,available,53,1%,6,Arts,,,
lxxvii.school,available,52,2%,6,Mathematics,,,
abstruse.school,available,52,5%,8,"Humanities,Mathematics,Science",,,
sixtyfour.school,available,52,3%,10,Mathematics,,,
odious.school,available,52,2%,6,"Entertainment,Humanities",,,
lxxiii.school,available,52,1%,6,Mathematics,,,
lxxxi.school,available,52,1%,5,Mathematics,,,
abysmal.school,available,52,4%,7,"Arts,Entertainment,Media",,,
adenoidal.school,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
abominable.school,available,52,2%,10,"Entertainment,Humanities",,,
lxxxiii.school,available,52,1%,7,Mathematics,,,
xci.school,available,52,4%,3,Mathematics,,,
lxxv.school,available,52,1%,4,Mathematics,,,
xcii.school,available,52,2%,4,Mathematics,,,
eightytwo.school,available,52,4%,10,Mathematics,,,
tierce.school,available,52,3%,6,General,,,
uphill.school,available,52,7%,6,"Sports,Transportation,Travel",,,
lxxii.school,available,52,1%,5,Mathematics,,,
xcv.school,available,52,7%,3,Mathematics,,,
lxxxvi.school,available,52,1%,6,Mathematics,,,
lxiii.school,available,52,2%,5,Mathematics,,,
repulsive.school,available,52,1%,9,Humanities,,,
xcviii.school,available,52,1%,6,Mathematics,,,
xcvi.school,available,52,2%,4,Mathematics,,,
sixtyfive.school,available,52,3%,10,Mathematics,,,
lxv.school,available,52,5%,3,Mathematics,,,
littlejoe.school,available,52,2%,10,"Entertainment,Media",,,
detestable.school,available,52,1%,10,Humanities,,,
lxxxvii.school,available,52,1%,7,Mathematics,,,
lxxxii.school,available,52,1%,6,Mathematics,,,
ixc.school,available,52,5%,3,Mathematics,,,
ablated.school,available,52,1%,7,Science,,,
lxxvi.school,available,52,1%,5,Mathematics,,,
xciii.school,available,52,1%,5,Mathematics,,,
abusive.school,available,52,3%,7,"Healthcare,Law",,,
lxxxiv.school,available,52,1%,6,Mathematics,,,
xcvii.school,available,52,1%,5,Mathematics,,,
lxii.school,available,52,1%,4,Mathematics,,,
decumbent.school,available,52,1%,9,"Healthcare,Medicine,Science",,,
repugnant.school,available,52,1%,9,Humanities,,,
lxi.school,available,52,5%,3,Mathematics,,,
sixtytwo.school,available,52,3%,9,Mathematics,,,
chagrined.school,available,52,1%,9,Humanities,,,
ninetytwo.school,available,52,4%,10,Mathematics,,,
lxviii.school,available,52,1%,6,Mathematics,,,
eightyone.school,available,52,3%,10,Mathematics,,,
xciv.school,available,52,2%,4,Mathematics,,,
aboulic.school,available,52,1%,7,Medicine,,,
lxxi.school,available,52,1%,4,Mathematics,,,
lxvi.school,available,52,3%,4,Mathematics,,,
sixtysix.school,available,52,4%,9,Mathematics,,,
lxxxv.school,available,52,1%,5,Mathematics,,,
ninetyone.school,available,52,5%,10,Mathematics,,,
lxxiv.school,available,52,1%,5,Mathematics,,,
ixl.school,available,52,9%,3,Mathematics,,,
lxvii.school,available,52,1%,5,Mathematics,,,
lxiv.school,available,52,3%,4,Mathematics,,,
ninetysix.school,available,52,4%,10,Mathematics,,,
acetous.school,available,50,1%,7,Science,,,
abbatial.school,available,50,0%,8,Religion,,,
ogdoad.school,available,50,1%,6,Mathematics,,,
acapnotic.school,available,50,0%,9,"Healthcare,Medicine,Science",,,
acetose.school,available,50,1%,7,Science,,,
acquitted.school,available,50,1%,9,Law,,,
abducting.school,available,50,0%,9,Medicine,,,
trine.school,resell,50,11%,5,"General,Religion",31/10/2024 19:11,31/10/2025 19:11,Porkbun LLC
adactylous.school,available,50,0%,10,Science,,,
broached.school,available,50,0%,8,Food and Beverage,,,
cinque.school,available,50,7%,6,Mathematics,,,
quint.school,available,50,13%,5,"Arts,Entertainment",,,
aborticide.school,available,50,0%,10,Medicine,,,
abomasal.school,available,50,0%,8,Agriculture,,,
vinegary.school,available,50,1%,8,Food and Beverage,,,
aculeated.school,available,50,0%,9,"Engineering,Medicine,Science",,,
acerb.school,available,50,2%,5,Science,,,
abdicable.school,available,50,0%,9,Law,,,
triplet.school,available,50,8%,7,Science,,,
abranchial.school,available,50,0%,10,Science,,,
acellular.school,available,50,1%,9,Science,,,
acerbic.school,available,50,2%,7,"Arts,Humanities,Media",,,
needlelike.school,available,50,0%,10,"Engineering,Medicine,Science",,,
abactinal.school,available,50,0%,9,Science,,,
lxx.school,available,50,5%,3,Mathematics,,,
spinous.school,available,50,1%,7,"Agriculture,Science",,,
gillless.school,available,50,0%,9,Science,,,
scummy.school,available,50,1%,6,Humanities,,,
acerose.school,available,50,1%,7,Science,,,
acaudal.school,available,50,1%,7,"Agriculture,Science",,,
adhominem.school,available,50,2%,10,"Humanities,Law,Politics",,,
acapnic.school,available,50,0%,7,"Healthcare,Medicine,Science",,,
apriori.school,available,48,13%,8,Mathematics,,,
notguilty.school,available,48,5%,10,Law,,,
ilxxx.school,available,48,1%,5,Mathematics,,,
abstracted.school,available,48,5%,10,"Arts,Humanities,Science",,,
abyssal.school,available,48,12%,7,"Arts,Entertainment,Media",,,
lxxxviii.school,available,48,1%,8,Mathematics,,,
execrable.school,available,48,0%,9,"Entertainment,Humanities",,,
ilxx.school,available,48,1%,4,Mathematics,,,
stripling.school,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acanthotic.school,available,46,0%,10,"Agriculture,Science",,,
acheronian.school,available,46,1%,10,Humanities,,,
vinegarish.school,available,46,1%,10,Food and Beverage,,,
acetylenic.school,available,46,1%,10,Science,,,
achenial.school,available,46,1%,8,Science,,,
quaternary.school,available,46,3%,10,Mathematics,,,
acetonic.school,available,46,1%,8,Science,,,
stemless.school,available,46,2%,8,"Agriculture,Science",,,
acapnial.school,available,46,0%,8,"Healthcare,Medicine,Science",,,
acanthous.school,available,46,0%,9,"Agriculture,Science",,,
acaudate.school,available,46,1%,8,"Agriculture,Science",,,
cotyloid.school,available,46,1%,8,Science,,,
achromous.school,available,46,1%,9,Science,,,
acarpelous.school,available,46,0%,10,"Agriculture,Science",,,
acanthoid.school,available,46,1%,9,"Agriculture,Science",,,
theabsurd.school,available,46,1%,10,"Arts,Entertainment,Media",,,
acarpous.school,available,46,0%,8,"Agriculture,Science",,,
achromic.school,available,46,2%,8,Science,,,
acicular.school,available,46,2%,8,Science,,,
acetylic.school,available,46,1%,8,Science,,,
acetabular.school,available,46,1%,10,Science,,,
acephalous.school,available,46,1%,10,Science,,,
acherontic.school,available,44,1%,10,Humanities,,,
cotyloidal.school,available,44,1%,10,Science,,,
accusatory.school,available,44,1%,10,Law,,,
abscessed.school,available,41,0%,9,Healthcare,,,
phoebe.school,available,41,14%,6,Science,,,
scurrilous.school,available,40,1%,10,"Entertainment,Media,Politics",,,
accurst.school,available,40,1%,7,Religion,,,
accusive.school,available,40,1%,8,Law,,,
